Time,Open,High,Low,Close,Volume,target
2020-01-01 22:00:00,1.12106,1.12166,1.12106,1.12143,1215,
2020-01-01 23:00:00,1.12143,1.12218,1.12142,1.12188,1407,
2020-01-02 00:00:00,1.12188,1.1219,1.12157,1.12183,1790,
2020-01-02 01:00:00,1.12182,1.12244,1.1218,1.12209,3135,
2020-01-02 02:00:00,1.1221,1.12245,1.12184,1.12222,2121,
2020-01-02 03:00:00,1.12224,1.12231,1.12124,1.12132,2551,
2020-01-02 04:00:00,1.12132,1.12143,1.12008,1.12012,2657,
2020-01-02 05:00:00,1.12011,1.12044,1.12009,1.12043,3426,
2020-01-02 06:00:00,1.12044,1.12077,1.12036,1.12077,3330,
2020-01-02 07:00:00,1.12078,1.12102,1.12043,1.12098,6753,
2020-01-02 08:00:00,1.12099,1.12137,1.12051,1.1212,7199,
2020-01-02 09:00:00,1.12119,1.12141,1.12011,1.1203,6928,
2020-01-02 10:00:00,1.1203,1.12039,1.11927,1.11982,7232,
2020-01-02 11:00:00,1.11984,1.12021,1.11842,1.11848,8869,
2020-01-02 12:00:00,1.11847,1.11943,1.11829,1.1193,7015,
2020-01-02 13:00:00,1.11929,1.1197,1.11896,1.11963,188199,
2020-01-02 14:00:00,1.11963,1.11965,1.117,1.11741,121650,
2020-01-02 15:00:00,1.11739,1.12023,1.11708,1.12005,42486,
2020-01-02 16:00:00,1.12006,1.1203,1.11651,1.11661,44095,
2020-01-02 17:00:00,1.11661,1.11719,1.11635,1.11698,8149,
2020-01-02 18:00:00,1.11698,1.11723,1.11636,1.11702,6862,-0.3044367470161314
2020-01-02 19:00:00,1.11702,1.11703,1.11642,1.11663,5631,0.23910393581090128
2020-01-02 20:00:00,1.11662,1.11715,1.11659,1.11693,3695,0.23034924718356886
2020-01-02 21:00:00,1.11692,1.11735,1.11689,1.11722,1521,-0.07260671627031624
2020-01-02 22:00:00,1.11722,1.1173,1.11687,1.11713,839,-0.04047109790609898
2020-01-02 23:00:00,1.11712,1.11734,1.11701,1.11708,1115,0.3585339437518726
2020-01-03 00:00:00,1.11707,1.1176,1.11698,1.11754,1771,-0.15545140301471946
2020-01-03 01:00:00,1.11753,1.11784,1.11722,1.11735,3335,-0.08260774368890243
2020-01-03 02:00:00,1.11735,1.11774,1.11718,1.11725,6199,-0.041565267391487734
2020-01-03 03:00:00,1.11725,1.11736,1.11695,1.1172,3516,-0.16524708373171457
2020-01-03 04:00:00,1.1172,1.11749,1.11685,1.117,2754,-0.3000566508443987
2020-01-03 05:00:00,1.117,1.11706,1.11643,1.11663,4027,0.23206512409690183
2020-01-03 06:00:00,1.11663,1.11695,1.11638,1.11691,2993,-0.871542781989499
2020-01-03 07:00:00,1.11691,1.11715,1.11521,1.11532,9234,-0.16514159590337224
2020-01-03 08:00:00,1.11531,1.11604,1.11505,1.11512,12278,-0.7363975362115043
2020-01-03 09:00:00,1.11512,1.11522,1.114,1.11401,11538,-0.332595054778993
2020-01-03 10:00:00,1.114,1.11433,1.11307,1.1136,10711,-0.49849423324522124
2020-01-03 11:00:00,1.11361,1.11361,1.11249,1.113,9105,0.7784101558153934
2020-01-03 12:00:00,1.113,1.11426,1.11281,1.11391,8115,-0.17958634930826717
2020-01-03 13:00:00,1.11392,1.11488,1.11373,1.11381,10360,0.9894719205789652
2020-01-03 14:00:00,1.1138,1.11541,1.11353,1.11522,11181,0.9387479962899204
2020-01-03 15:00:00,1.11525,1.11674,1.11525,1.11633,13280,0.8462012740692653
2020-01-03 16:00:00,1.11634,1.11798,1.11624,1.11719,34952,0.027888840266879523
2020-01-03 17:00:00,1.1172,1.1174,1.11679,1.11721,5323,-0.6471035456571698
2020-01-03 18:00:00,1.11721,1.11732,1.11659,1.11666,5772,0.0963813585052074
2020-01-03 19:00:00,1.11665,1.11681,1.11612,1.11673,6343,-0.6566647058747109
2020-01-03 20:00:00,1.11673,1.11674,1.116,1.11616,3139,-0.7343491604949651
2020-01-03 21:00:00,1.11614,1.1162,1.11523,1.11548,1496,0.5540663916130834
2020-01-05 22:00:00,1.11656,1.11667,1.11589,1.11594,396,0.13298493524848537
2020-01-05 23:00:00,1.11595,1.11677,1.11592,1.11604,4005,0.3920049379799347
2020-01-06 00:00:00,1.11603,1.11685,1.116,1.11635,3970,-0.10594446343537531
2020-01-06 01:00:00,1.11635,1.11653,1.11612,1.11627,4648,0.33417292372682433
2020-01-06 02:00:00,1.11628,1.11671,1.11624,1.11653,2649,0.05342985661763054
2020-01-06 03:00:00,1.11654,1.11709,1.11653,1.11657,3670,-0.22668567475511048
2020-01-06 04:00:00,1.11658,1.11661,1.11616,1.11642,4389,-0.2846069831567451
2020-01-06 05:00:00,1.11644,1.11651,1.11606,1.11623,2628,-0.2641772524625396
2020-01-06 06:00:00,1.11622,1.11624,1.11571,1.11607,3709,0.5849391285964838
2020-01-06 07:00:00,1.11606,1.11667,1.11597,1.11646,7582,0.986242046901407
2020-01-06 08:00:00,1.11647,1.11799,1.11632,1.11785,9295,0.9850163314316829
2020-01-06 09:00:00,1.11786,1.11936,1.11751,1.11932,10287,0.4494039878840583
2020-01-06 10:00:00,1.11934,1.11996,1.11899,1.11964,8438,0.8090178020972868
2020-01-06 11:00:00,1.11963,1.12055,1.11962,1.12032,7970,-0.707055740528404
2020-01-06 12:00:00,1.12032,1.12043,1.11951,1.11981,6371,-0.08642541562714269
2020-01-06 13:00:00,1.11982,1.12032,1.11911,1.11976,8723,-0.986843860610955
2020-01-06 14:00:00,1.11976,1.12002,1.11825,1.11831,12588,0.6812607851435889
2020-01-06 15:00:00,1.11832,1.11902,1.11821,1.11886,11356,-0.20597086763228117
2020-01-06 16:00:00,1.11887,1.11896,1.11809,1.11872,9042,0.8315798449891727
2020-01-06 17:00:00,1.11872,1.1196,1.11842,1.1195,5418,-0.4495136374887469
2020-01-06 18:00:00,1.11952,1.11979,1.11917,1.11919,4388,-0.1077860589900748
2020-01-06 19:00:00,1.11918,1.11928,1.11879,1.11912,3806,0.3538879826750795
2020-01-06 20:00:00,1.11914,1.11939,1.11889,1.11936,3434,0.45707430793889836
2020-01-06 21:00:00,1.11936,1.11989,1.11928,1.11968,1230,-0.19822440868763347
2020-01-06 22:00:00,1.1196,1.11961,1.11928,1.11955,2344,-0.015380978487192038
2020-01-06 23:00:00,1.11955,1.11975,1.11941,1.11954,2051,-0.7044372665077189
2020-01-07 00:00:00,1.11953,1.11954,1.11891,1.11897,2834,0.5040429884633877
2020-01-07 01:00:00,1.11897,1.1197,1.11896,1.11934,3030,-0.30572635622771765
2020-01-07 02:00:00,1.11934,1.11934,1.11909,1.11913,2335,0.13429189835464167
2020-01-07 03:00:00,1.11914,1.11943,1.11912,1.11922,2281,-0.19333879850085572
2020-01-07 04:00:00,1.11921,1.11934,1.11905,1.11909,2183,-0.8680154147683076
2020-01-07 05:00:00,1.11908,1.11924,1.11828,1.1183,2622,-0.26065871867565604
2020-01-07 06:00:00,1.11829,1.11897,1.11809,1.11816,6209,-0.8992679309413553
2020-01-07 07:00:00,1.11815,1.11854,1.11729,1.1174,8681,0.9710591112965441
2020-01-07 08:00:00,1.1174,1.11875,1.11726,1.11847,10387,-0.03523426308001331
2020-01-07 09:00:00,1.11846,1.11896,1.11805,1.11845,7984,-0.8981623790448765
2020-01-07 10:00:00,1.11846,1.11862,1.11648,1.11762,9910,0.7925953582269878
2020-01-07 11:00:00,1.11762,1.11849,1.1172,1.11816,9875,-0.8761363644689381
2020-01-07 12:00:00,1.11817,1.11831,1.11708,1.11748,9096,-0.9984917617331346
2020-01-07 13:00:00,1.11746,1.11778,1.11548,1.11561,12855,-0.8708084242204636
2020-01-07 14:00:00,1.1156,1.11622,1.11465,1.11478,12690,-0.7436177934838334
2020-01-07 15:00:00,1.11476,1.11516,1.11342,1.11417,14871,-0.634600784368514
2020-01-07 16:00:00,1.11417,1.11439,1.11335,1.11369,8469,0.701544544819004
2020-01-07 17:00:00,1.11369,1.11473,1.11366,1.11424,6709,0.15361417227115165
2020-01-07 18:00:00,1.11425,1.11495,1.11414,1.11434,4201,0.16749287157141987
2020-01-07 19:00:00,1.11435,1.1145,1.11417,1.11445,4647,-0.1066930674122525
2020-01-07 20:00:00,1.11446,1.11477,1.11423,1.11438,4391,0.8747427657535062
2020-01-07 21:00:00,1.11439,1.11536,1.11437,1.11526,2282,-0.6140870539225699
2020-01-07 22:00:00,1.11529,1.11536,1.11447,1.11477,1592,0.7241270709715418
2020-01-07 23:00:00,1.11473,1.11544,1.11462,1.1154,5491,0.5696888530335614
2020-01-08 00:00:00,1.11539,1.11682,1.11525,1.11586,12056,-0.3795091096531321
2020-01-08 01:00:00,1.11585,1.11632,1.11548,1.11557,9240,0.38641183070381235
2020-01-08 02:00:00,1.11557,1.11613,1.11531,1.11586,7284,-0.5057919324446535
2020-01-08 03:00:00,1.11587,1.11591,1.11536,1.11546,4355,-0.7584477190566321
2020-01-08 04:00:00,1.11545,1.11557,1.1145,1.11476,3152,0.23758744665969542
2020-01-08 05:00:00,1.11478,1.11513,1.11473,1.11492,3570,0.11985842082243878
2020-01-08 06:00:00,1.11491,1.11539,1.11484,1.115,3922,0.16807604419482852
2020-01-08 07:00:00,1.11501,1.11549,1.11432,1.11511,9834,-0.9885714742322584
2020-01-08 08:00:00,1.11513,1.11533,1.11301,1.11348,15850,0.4597874986217653
2020-01-08 09:00:00,1.11349,1.11447,1.11253,1.11383,11633,-0.95179226765177
2020-01-08 10:00:00,1.11382,1.11385,1.11254,1.11273,10252,-0.03254345074671474
2020-01-08 11:00:00,1.11274,1.11311,1.11196,1.11271,13025,-0.9385033170092494
2020-01-08 12:00:00,1.11271,1.11307,1.11139,1.11167,11524,0.4656626333979426
2020-01-08 13:00:00,1.11166,1.11224,1.11111,1.11199,13813,0.6273775377976585
2020-01-08 14:00:00,1.112,1.11269,1.11176,1.11245,10985,-0.6286220843511053
2020-01-08 15:00:00,1.11244,1.11308,1.11153,1.11198,11283,-0.48695537365627484
2020-01-08 16:00:00,1.11197,1.11201,1.11087,1.11164,13487,0.2447373100532333
2020-01-08 17:00:00,1.11163,1.11259,1.11131,1.1118,10894,-0.673596185550257
2020-01-08 18:00:00,1.1118,1.1118,1.11104,1.11131,5812,-0.30681770303958283
2020-01-08 19:00:00,1.11133,1.1114,1.11081,1.11112,3914,0.10508704201257502
2020-01-08 20:00:00,1.11113,1.11148,1.11097,1.11118,4973,-0.827475640185812
2020-01-08 21:00:00,1.11119,1.11127,1.11016,1.11053,1941,0.6573629348964329
2020-01-08 22:00:00,1.11053,1.11146,1.11033,1.11097,1051,0.511104748419049
2020-01-08 23:00:00,1.11098,1.1113,1.11071,1.11129,1398,0.08604869261123031
2020-01-09 00:00:00,1.1113,1.11159,1.11091,1.11134,5142,0.6051222866600587
